Annee,Mois,Valeur,Date parution au JO
2020,8,118.1,20/11/2020
2020,7,117.4,16/10/2020
2020,6,117.9,16/09/2020
2020,5,116.9,23/08/2020
2020,4,116.8,17/07/2020
2020,3,116.4,19/06/2020
2020,2,116.7,16/05/2020
2020,1,117.0,14/05/2020
2019,12,116.3,21/03/2020
2019,11,116.2,15/02/2020
2019,10,116.3,17/01/2020
2019,9,116.7,20/12/2019
2019,8,117.3,16/11/2019
2019,7,116.6,19/10/2019
2019,6,115.6,21/09/2019
2019,5,115.0,23/08/2019
2019,4,114.7,19/07/2019
2019,3,114.4,22/06/2019
2019,2,114.1,16/05/2019
2019,1,113.7,18/04/2019
2018,12,113.2,23/03/2019
2018,11,113.3,19/02/2019
2018,10,113.4,19/01/2019
2018,9,112.9,21/12/2018
2018,8,112.7,15/11/2018
2018,7,111.9,12/10/2018
2018,6,111.5,15/09/2018
2018,5,111.6,17/08/2018
2018,4,111.6,17/07/2018
2018,3,111.7,27/06/2018
2018,2,111.1,16/05/2018
2018,1,111.3,03/05/2018
2017,12,110.7,22/03/2018
2017,11,111.0,21/02/2018
2017,10,110.2,17/01/2018
2017,9,110.1,22/12/2017
2017,8,109.9,15/11/2017
2017,7,109.5,13/10/2017
2017,6,109.5,16/09/2017
2017,5,109.5,11/08/2017
2017,4,109.4,16/07/2017
2017,3,109.6,05/07/2017
2017,2,109.4,14/05/2017
2017,1,109.3,15/04/2017
2016,12,109.0,21/03/2017
2016,11,108.5,15/02/2017
2016,10,108.2,14/01/2017
2016,9,109.1,21/12/2016
2016,8,109.1,17/11/2016
2016,7,108.6,13/10/2016
2016,6,108.9,21/09/2016
2016,5,108.9,13/08/2016
2016,4,108.4,14/07/2016
2016,3,108.4,22/06/2016
2016,2,107.7,15/05/2016
2016,1,108.6,14/04/2016
2015,12,108.4,24/03/2016
2015,11,108.2,14/02/2016
2015,10,108.3,16/01/2016
2015,9,108.5,23/12/2015
2015,8,108.6,21/11/2015
2015,7,108.3,16/10/2015
2015,6,108.3,20/09/2015
2015,5,108.1,18/08/2015
2015,4,108.0,26/07/2015
2015,3,107.9,20/06/2015
2015,2,107.8,17/05/2015
2015,1,107.7,18/04/2015
2014,12,107.9,15/03/2015
2014,11,107.8,15/02/2015
2014,10,108.0,16/01/2015
