Annee,Mois,Valeur,Date parution au JO
2020,8,100.4,20/11/2020
2020,7,99.4,16/10/2020
2020,6,99.6,16/09/2020
2020,5,100.5,23/08/2020
2020,4,99.6,17/07/2020
2020,3,100.8,19/06/2020
2020,2,100.6,16/05/2020
2020,1,101.1,14/05/2020
2019,12,99.3,21/03/2020
2019,11,101.1,15/02/2020
2019,10,102.8,17/01/2020
2019,9,104.4,20/12/2019
2019,8,105.4,16/11/2019
2019,7,104.9,19/10/2019
2019,6,105.1,21/09/2019
2019,5,106.0,23/08/2019
2019,4,106.9,19/07/2019
2019,3,106.8,22/06/2019
2019,2,106.3,16/05/2019
2019,1,107.2,18/04/2019
2018,12,107.3,23/03/2019
2018,11,107.2,19/02/2019
2018,10,107.4,19/01/2019
2018,9,107.4,21/12/2018
2018,8,107.2,15/11/2018
2018,7,106.3,12/10/2018
2018,6,106.5,15/09/2018
2018,5,106.7,17/08/2018
2018,4,105.2,17/07/2018
2018,3,105.3,27/06/2018
2018,2,104.9,16/05/2018
2018,1,105.3,03/05/2018
2017,12,103.2,22/03/2018
2017,11,101.6,21/02/2018
2017,10,102.5,17/01/2018
2017,9,102.3,22/12/2017
2017,8,102.8,15/11/2017
2017,7,103.2,13/10/2017
2017,6,102.9,16/09/2017
2017,5,102.6,11/08/2017
2017,4,102.5,16/07/2017
2017,3,101.6,05/07/2017
2017,2,99.9,14/05/2017
2017,1,98.5,15/04/2017
2016,12,97.3,21/03/2017
2016,11,96.2,15/02/2017
2016,10,96.2,14/01/2017
2016,9,96.9,21/12/2016
2016,8,96.4,17/11/2016
2016,7,95.6,13/10/2016
2016,6,95.1,21/09/2016
2016,5,92.4,13/08/2016
2016,4,91.6,14/07/2016
2016,3,91.1,22/06/2016
2016,2,91.1,15/05/2016
2016,1,91.5,14/04/2016
2015,12,92.9,24/03/2016
2015,11,94.7,14/02/2016
2015,10,96.1,16/01/2016
2015,9,96.7,23/12/2015
2015,8,97.7,21/11/2015
2015,7,97.6,16/10/2015
2015,6,97.7,20/09/2015
2015,5,98.4,18/08/2015
2015,4,98.5,26/07/2015
2015,3,98.4,20/06/2015
2015,2,97.8,17/05/2015
2015,1,97.5,18/04/2015
2014,12,98.3,15/03/2015
2014,11,99.2,15/02/2015
2014,10,99.9,16/01/2015
