Annee,Mois,Valeur,Date parution au JO
2020,8,111.0,20/11/2020
2020,7,110.8,16/10/2020
2020,6,110.5,16/09/2020
2020,5,110.2,23/08/2020
2020,4,110.4,17/07/2020
2020,3,110.4,19/06/2020
2020,2,110.3,16/05/2020
2020,1,110.1,14/05/2020
2019,12,110.0,21/03/2020
2019,11,109.7,15/02/2020
2019,10,109.6,17/01/2020
2019,9,109.8,20/12/2019
2019,8,109.8,16/11/2019
2019,7,109.9,19/10/2019
2019,6,110.0,21/09/2019
2019,5,110.0,23/08/2019
2019,4,110.1,19/07/2019
2019,3,109.5,22/06/2019
2019,2,109.0,16/05/2019
2019,1,109.2,18/04/2019
2018,12,108.9,23/03/2019
2018,11,108.7,19/02/2019
2018,10,108.5,19/01/2019
2018,9,108.6,21/12/2018
2018,8,109.1,15/11/2018
2018,7,108.5,12/10/2018
2018,6,108.3,15/09/2018
2018,5,107.9,17/08/2018
2018,4,108.1,17/07/2018
2018,3,108.0,27/06/2018
2018,2,107.5,16/05/2018
2018,1,107.6,03/05/2018
2017,12,107.3,22/03/2018
2017,11,107.0,21/02/2018
2017,10,107.0,17/01/2018
2017,9,106.8,22/12/2017
2017,8,106.8,15/11/2017
2017,7,106.8,13/10/2017
2017,6,106.8,16/09/2017
2017,5,106.6,11/08/2017
2017,4,106.4,16/07/2017
2017,3,106.4,05/07/2017
2017,2,106.3,14/05/2017
2017,1,106.4,15/04/2017
2016,12,105.6,21/03/2017
2016,11,105.3,15/02/2017
2016,10,105.6,14/01/2017
2016,9,105.4,21/12/2016
2016,8,105.0,17/11/2016
2016,7,105.0,13/10/2016
2016,6,105.4,21/09/2016
2016,5,104.9,13/08/2016
2016,4,104.4,14/07/2016
2016,3,104.9,22/06/2016
2016,2,104.8,15/05/2016
2016,1,104.7,14/04/2016
2015,12,104.9,24/03/2016
2015,11,103.8,14/02/2016
2015,10,104.2,16/01/2016
2015,9,104.3,23/12/2015
2015,8,104.4,21/11/2015
2015,7,104.6,16/10/2015
2015,6,104.4,20/09/2015
2015,5,104.0,18/08/2015
2015,4,104.3,26/07/2015
2015,3,104.1,20/06/2015
2015,2,104.3,17/05/2015
2015,1,102.6,18/04/2015
2014,12,104.8,15/03/2015
2014,11,104.9,15/02/2015
2014,10,104.8,16/01/2015
