Annee,Mois,Valeur,Date parution au JO
2020,8,109.8,20/11/2020
2020,7,109.8,16/10/2020
2020,6,108.8,16/09/2020
2020,5,108.7,23/08/2020
2020,4,108.9,17/07/2020
2020,3,110.8,19/06/2020
2020,2,111.7,16/05/2020
2020,1,111.4,14/05/2020
2019,12,110.4,21/03/2020
2019,11,110.5,15/02/2020
2019,10,111.2,17/01/2020
2019,9,111.2,20/12/2019
2019,8,111.5,16/11/2019
2019,7,111.5,19/10/2019
2019,6,111.5,21/09/2019
2019,5,111.8,23/08/2019
2019,4,111.6,19/07/2019
2019,3,111.3,22/06/2019
2019,2,110.3,16/05/2019
2019,1,109.7,18/04/2019
2018,12,110.0,23/03/2019
2018,11,111.1,19/02/2019
2018,10,110.9,19/01/2019
2018,9,110.4,21/12/2018
2018,8,110.2,15/11/2018
2018,7,109.8,12/10/2018
2018,6,109.6,15/09/2018
2018,5,108.8,17/08/2018
2018,4,108.1,17/07/2018
2018,3,107.7,27/06/2018
2018,2,107.4,16/05/2018
2018,1,107.3,03/05/2018
2017,12,106.4,22/03/2018
2017,11,106.1,21/02/2018
2017,10,105.7,17/01/2018
2017,9,105.2,22/12/2017
2017,8,105.0,15/11/2017
2017,7,104.7,13/10/2017
2017,6,104.7,16/09/2017
2017,5,105.0,11/08/2017
2017,4,104.8,16/07/2017
2017,3,105.1,05/07/2017
2017,2,105.0,14/05/2017
2017,1,104.9,15/04/2017
2016,12,103.7,21/03/2017
2016,11,103.3,15/02/2017
2016,10,103.0,14/01/2017
2016,9,102.6,21/12/2016
2016,8,102.3,17/11/2016
2016,7,102.3,13/10/2016
2016,6,102.1,21/09/2016
2016,5,101.2,13/08/2016
2016,4,100.6,14/07/2016
2016,3,100.1,22/06/2016
2016,2,100.0,15/05/2016
2016,1,100.2,14/04/2016
2015,12,100.8,24/03/2016
2015,11,101.6,14/02/2016
2015,10,101.7,16/01/2016
2015,9,101.9,23/12/2015
2015,8,102.9,21/11/2015
2015,7,103.6,16/10/2015
2015,6,104.1,20/09/2015
2015,5,104.1,18/08/2015
2015,4,103.6,26/07/2015
2015,3,103.5,20/06/2015
2015,2,103.0,17/05/2015
2015,1,102.8,18/04/2015
2014,12,104.1,15/03/2015
2014,11,105.6,15/02/2015
2014,10,106.5,16/01/2015
