Annee,Mois,Valeur,Date parution au JO
2020,8,106.2,20/11/2020
2020,7,106.2,16/10/2020
2020,6,106.2,16/09/2020
2020,5,106.6,23/08/2020
2020,4,106.6,17/07/2020
2020,3,108.0,19/06/2020
2020,2,109.6,16/05/2020
2020,1,109.9,14/05/2020
2019,12,109.9,21/03/2020
2019,11,109.8,15/02/2020
2019,10,110.0,17/01/2020
2019,9,110.0,20/12/2019
2019,8,109.2,16/11/2019
2019,7,109.2,19/10/2019
2019,6,108.9,21/09/2019
2019,5,109.5,23/08/2019
2019,4,109.5,19/07/2019
2019,3,109.3,22/06/2019
2019,2,108.6,16/05/2019
2019,1,108.1,18/04/2019
2018,12,107.7,23/03/2019
2018,11,108.5,19/02/2019
2018,10,109.0,19/01/2019
2018,9,108.6,21/12/2018
2018,8,108.3,15/11/2018
2018,7,108.1,12/10/2018
2018,6,108.0,15/09/2018
2018,5,108.0,17/08/2018
2018,4,107.5,17/07/2018
2018,3,106.8,27/06/2018
2018,2,106.4,16/05/2018
2018,1,106.7,03/05/2018
2017,12,105.4,22/03/2018
2017,11,105.2,21/02/2018
2017,10,104.9,17/01/2018
2017,9,104.8,22/12/2017
2017,8,104.4,15/11/2017
2017,7,104.1,13/10/2017
2017,6,103.9,16/09/2017
2017,5,104.4,11/08/2017
2017,4,104.6,16/07/2017
2017,3,104.6,05/07/2017
2017,2,104.6,14/05/2017
2017,1,104.4,15/04/2017
2016,12,103.9,21/03/2017
2016,11,103.2,15/02/2017
2016,10,103.3,14/01/2017
2016,9,102.6,21/12/2016
2016,8,102.5,17/11/2016
2016,7,102.4,13/10/2016
2016,6,102.7,21/09/2016
2016,5,102.4,13/08/2016
2016,4,101.5,14/07/2016
2016,3,101.5,22/06/2016
2016,2,100.6,15/05/2016
2016,1,100.6,14/04/2016
2015,12,100.6,24/03/2016
2015,11,102.4,14/02/2016
2015,10,102.0,16/01/2016
2015,9,102.2,23/12/2015
2015,8,102.3,21/11/2015
2015,7,103.4,16/10/2015
2015,6,104.0,20/09/2015
2015,5,104.5,18/08/2015
2015,4,103.8,26/07/2015
2015,3,103.6,20/06/2015
2015,2,103.4,17/05/2015
2015,1,102.2,18/04/2015
2014,12,102.2,15/03/2015
2014,11,104.1,15/02/2015
2014,10,104.7,16/01/2015
