Annee,Mois,Valeur,Date parution au JO
2020,8,113.5,20/11/2020
2020,7,113.5,16/10/2020
2020,6,113.7,16/09/2020
2020,5,114.2,23/08/2020
2020,4,114.4,17/07/2020
2020,3,114.7,19/06/2020
2020,2,114.8,16/05/2020
2020,1,114.7,14/05/2020
2019,12,114.3,21/03/2020
2019,11,114.2,15/02/2020
2019,10,114.2,17/01/2020
2019,9,114.6,20/12/2019
2019,8,114.7,16/11/2019
2019,7,114.5,19/10/2019
2019,6,114.3,21/09/2019
2019,5,114.1,23/08/2019
2019,4,114.1,19/07/2019
2019,3,114.1,22/06/2019
2019,2,113.6,16/05/2019
2019,1,113.5,18/04/2019
2018,12,113.2,23/03/2019
2018,11,113.1,19/02/2019
2018,10,113.0,19/01/2019
2018,9,112.9,21/12/2018
2018,8,112.6,15/11/2018
2018,7,112.1,12/10/2018
2018,6,112.2,15/09/2018
2018,5,112.4,17/08/2018
2018,4,112.2,17/07/2018
2018,3,112.0,27/06/2018
2018,2,111.5,16/05/2018
2018,1,111.2,03/05/2018
2017,12,110.7,22/03/2018
2017,11,110.4,21/02/2018
2017,10,109.6,17/01/2018
2017,9,108.8,22/12/2017
2017,8,108.4,15/11/2017
2017,7,108.1,13/10/2017
2017,6,107.9,16/09/2017
2017,5,107.9,11/08/2017
2017,4,107.7,16/07/2017
2017,3,107.6,05/07/2017
2017,2,107.2,14/05/2017
2017,1,107.0,15/04/2017
2016,12,106.5,21/03/2017
2016,11,106.2,15/02/2017
2016,10,106.0,14/01/2017
2016,9,106.5,21/12/2016
2016,8,106.4,17/11/2016
2016,7,105.9,13/10/2016
2016,6,105.6,21/09/2016
2016,5,104.4,13/08/2016
2016,4,103.9,14/07/2016
2016,3,103.6,22/06/2016
2016,2,103.6,15/05/2016
2016,1,104.1,14/04/2016
2015,12,104.5,24/03/2016
2015,11,105.2,14/02/2016
2015,10,105.2,16/01/2016
2015,9,105.6,23/12/2015
2015,8,106.2,21/11/2015
2015,7,106.2,16/10/2015
2015,6,106.0,20/09/2015
2015,5,106.1,18/08/2015
2015,4,105.9,26/07/2015
2015,3,105.8,20/06/2015
2015,2,105.7,17/05/2015
2015,1,105.8,18/04/2015
2014,12,105.7,15/03/2015
2014,11,106.0,15/02/2015
2014,10,106.4,16/01/2015
