Annee,Mois,Valeur,Date parution au JO
2020,8,113.5,20/11/2020
2020,7,112.9,16/10/2020
2020,6,112.8,16/09/2020
2020,5,112.7,23/08/2020
2020,4,112.7,17/07/2020
2020,3,112.7,19/06/2020
2020,2,112.6,16/05/2020
2020,1,112.4,14/05/2020
2019,12,112.0,21/03/2020
2019,11,111.5,15/02/2020
2019,10,111.7,17/01/2020
2019,9,111.6,20/12/2019
2019,8,111.5,16/11/2019
2019,7,111.3,19/10/2019
2019,6,111.2,21/09/2019
2019,5,110.8,23/08/2019
2019,4,110.9,19/07/2019
2019,3,110.4,22/06/2019
2019,2,110.2,16/05/2019
2019,1,110.1,18/04/2019
2018,12,109.5,23/03/2019
2018,11,109.1,19/02/2019
2018,10,109.2,19/01/2019
2018,9,108.7,21/12/2018
2018,8,108.9,15/11/2018
2018,7,108.5,12/10/2018
2018,6,108.3,15/09/2018
2018,5,108.5,17/08/2018
2018,4,108.3,17/07/2018
2018,3,108.2,27/06/2018
2018,2,108.0,16/05/2018
2018,1,107.5,03/05/2018
2017,12,107.1,22/03/2018
2017,11,106.9,21/02/2018
2017,10,106.7,17/01/2018
2017,9,106.6,22/12/2017
2017,8,106.4,15/11/2017
2017,7,106.0,13/10/2017
2017,6,105.8,16/09/2017
2017,5,105.8,11/08/2017
2017,4,105.8,16/07/2017
2017,3,105.8,05/07/2017
2017,2,105.8,14/05/2017
2017,1,105.7,15/04/2017
2016,12,105.5,21/03/2017
2016,11,105.2,15/02/2017
2016,10,105.1,14/01/2017
2016,9,105.1,21/12/2016
2016,8,105.0,17/11/2016
2016,7,104.5,13/10/2016
2016,6,104.9,21/09/2016
2016,5,104.4,13/08/2016
2016,4,103.9,14/07/2016
2016,3,103.8,22/06/2016
2016,2,103.6,15/05/2016
2016,1,103.6,14/04/2016
2015,12,103.6,24/03/2016
2015,11,103.7,14/02/2016
2015,10,103.6,16/01/2016
2015,9,104.1,23/12/2015
2015,8,104.3,21/11/2015
2015,7,104.3,16/10/2015
2015,6,104.5,20/09/2015
2015,5,104.5,18/08/2015
2015,4,104.5,26/07/2015
2015,3,104.4,20/06/2015
2015,2,104.5,17/05/2015
2015,1,104.1,18/04/2015
2014,12,104.0,15/03/2015
2014,11,104.1,15/02/2015
2014,10,104.4,16/01/2015
