Annee,Mois,Valeur,Date parution au JO
2020,8,112.4,20/11/2020
2020,7,112.0,16/10/2020
2020,6,111.9,16/09/2020
2020,5,112.1,23/08/2020
2020,4,112.2,17/07/2020
2020,3,112.7,19/06/2020
2020,2,112.8,16/05/2020
2020,1,113.1,14/05/2020
2019,12,112.9,21/03/2020
2019,11,113.0,15/02/2020
2019,10,113.0,17/01/2020
2019,9,113.2,20/12/2019
2019,8,112.7,16/11/2019
2019,7,113.3,19/10/2019
2019,6,113.0,21/09/2019
2019,5,112.9,23/08/2019
2019,4,113.3,19/07/2019
2019,3,112.9,22/06/2019
2019,2,112.7,16/05/2019
2019,1,112.7,18/04/2019
2018,12,112.4,23/03/2019
2018,11,112.7,19/02/2019
2018,10,112.6,19/01/2019
2018,9,112.5,21/12/2018
2018,8,112.3,15/11/2018
2018,7,112.5,12/10/2018
2018,6,111.9,15/09/2018
2018,5,111.5,17/08/2018
2018,4,111.3,17/07/2018
2018,3,110.4,27/06/2018
2018,2,109.8,16/05/2018
2018,1,109.6,03/05/2018
2017,12,108.6,22/03/2018
2017,11,108.3,21/02/2018
2017,10,108.1,17/01/2018
2017,9,107.6,22/12/2017
2017,8,107.5,15/11/2017
2017,7,107.5,13/10/2017
2017,6,107.1,16/09/2017
2017,5,106.9,11/08/2017
2017,4,106.8,16/07/2017
2017,3,106.6,05/07/2017
2017,2,106.1,14/05/2017
2017,1,105.1,15/04/2017
2016,12,103.2,21/03/2017
2016,11,102.1,15/02/2017
2016,10,101.9,14/01/2017
2016,9,101.6,21/12/2016
2016,8,101.1,17/11/2016
2016,7,100.8,13/10/2016
2016,6,100.6,21/09/2016
2016,5,98.4,13/08/2016
2016,4,97.9,14/07/2016
2016,3,97.4,22/06/2016
2016,2,97.2,15/05/2016
2016,1,97.0,14/04/2016
2015,12,98.7,24/03/2016
2015,11,99.6,14/02/2016
2015,10,99.9,16/01/2016
2015,9,100.4,23/12/2015
2015,8,100.9,21/11/2015
2015,7,101.4,16/10/2015
2015,6,101.8,20/09/2015
2015,5,102.1,18/08/2015
2015,4,101.7,26/07/2015
2015,3,101.6,20/06/2015
2015,2,101.5,17/05/2015
2015,1,101.7,18/04/2015
2014,12,102.2,15/03/2015
2014,11,102.6,15/02/2015
2014,10,102.9,16/01/2015
