Annee,Mois,Valeur,Date parution au JO
2020,8,118.4,20/11/2020
2020,7,118.1,16/10/2020
2020,6,117.7,16/09/2020
2020,5,117.0,23/08/2020
2020,4,117.2,17/07/2020
2020,3,118.0,19/06/2020
2020,2,118.5,16/05/2020
2020,1,118.7,14/05/2020
2019,12,118.5,21/03/2020
2019,11,118.1,15/02/2020
2019,10,117.8,17/01/2020
2019,9,117.7,20/12/2019
2019,8,117.6,16/11/2019
2019,7,117.5,19/10/2019
2019,6,117.4,21/09/2019
2019,5,117.3,23/08/2019
2019,4,116.8,19/07/2019
2019,3,115.9,22/06/2019
2019,2,115.5,16/05/2019
2019,1,115.3,18/04/2019
2018,12,115.2,23/03/2019
2018,11,115.3,19/02/2019
2018,10,115.7,19/01/2019
2018,9,115.3,21/12/2018
2018,8,115.0,15/11/2018
2018,7,114.7,12/10/2018
2018,6,114.6,15/09/2018
2018,5,114.0,17/08/2018
2018,4,113.5,17/07/2018
2018,3,113.2,27/06/2018
2018,2,113.0,16/05/2018
2018,1,112.8,03/05/2018
2017,12,112.2,22/03/2018
2017,11,111.8,21/02/2018
2017,10,111.3,17/01/2018
2017,9,111.3,22/12/2017
2017,8,110.9,15/11/2017
2017,7,110.6,13/10/2017
2017,6,110.4,16/09/2017
2017,5,110.6,11/08/2017
2017,4,110.7,16/07/2017
2017,3,110.5,05/07/2017
2017,2,110.6,14/05/2017
2017,1,110.4,15/04/2017
2016,12,109.6,21/03/2017
2016,11,109.3,15/02/2017
2016,10,109.0,14/01/2017
2016,9,108.7,21/12/2016
2016,8,108.4,17/11/2016
2016,7,108.5,13/10/2016
2016,6,108.6,21/09/2016
2016,5,108.1,13/08/2016
2016,4,107.7,14/07/2016
2016,3,107.0,22/06/2016
2016,2,107.0,15/05/2016
2016,1,107.1,14/04/2016
2015,12,107.2,24/03/2016
2015,11,107.1,14/02/2016
2015,10,107.1,16/01/2016
2015,9,107.2,23/12/2015
2015,8,107.7,21/11/2015
2015,7,108.2,16/10/2015
2015,6,108.2,20/09/2015
2015,5,108.1,18/08/2015
2015,4,107.6,26/07/2015
2015,3,107.6,20/06/2015
2015,2,107.2,17/05/2015
2015,1,106.8,18/04/2015
2014,12,107.5,15/03/2015
2014,11,107.9,15/02/2015
2014,10,108.3,16/01/2015
