Annee,Mois,Valeur,Date parution au JO
2020,8,111.3,20/11/2020
2020,7,111.2,16/10/2020
2020,6,111.3,16/09/2020
2020,5,111.0,23/08/2020
2020,4,111.0,17/07/2020
2020,3,111.2,19/06/2020
2020,2,111.1,16/05/2020
2020,1,111.2,14/05/2020
2019,12,111.1,21/03/2020
2019,11,110.8,15/02/2020
2019,10,110.4,17/01/2020
2019,9,110.6,20/12/2019
2019,8,110.8,16/11/2019
2019,7,110.3,19/10/2019
2019,6,110.0,21/09/2019
2019,5,110.1,23/08/2019
2019,4,109.7,19/07/2019
2019,3,109.0,22/06/2019
2019,2,108.5,16/05/2019
2019,1,109.3,18/04/2019
2018,12,108.9,23/03/2019
2018,11,108.9,19/02/2019
2018,10,109.0,19/01/2019
2018,9,108.5,21/12/2018
2018,8,108.4,15/11/2018
2018,7,108.4,12/10/2018
2018,6,107.5,15/09/2018
2018,5,107.6,17/08/2018
2018,4,107.5,17/07/2018
2018,3,107.2,27/06/2018
2018,2,107.6,16/05/2018
2018,1,107.5,03/05/2018
2017,12,107.0,22/03/2018
2017,11,106.9,21/02/2018
2017,10,106.5,17/01/2018
2017,9,106.4,22/12/2017
2017,8,106.3,15/11/2017
2017,7,106.0,13/10/2017
2017,6,105.9,16/09/2017
2017,5,105.8,11/08/2017
2017,4,106.3,16/07/2017
2017,3,105.8,05/07/2017
2017,2,105.8,14/05/2017
2017,1,105.4,15/04/2017
2016,12,105.2,21/03/2017
2016,11,105.1,15/02/2017
2016,10,105.0,14/01/2017
2016,9,105.2,21/12/2016
2016,8,105.1,17/11/2016
2016,7,104.8,13/10/2016
2016,6,104.4,21/09/2016
2016,5,104.3,13/08/2016
2016,4,103.9,14/07/2016
2016,3,103.6,22/06/2016
2016,2,103.5,15/05/2016
2016,1,103.6,14/04/2016
2015,12,103.7,24/03/2016
2015,11,103.3,14/02/2016
2015,10,103.2,16/01/2016
2015,9,103.4,23/12/2015
2015,8,103.7,21/11/2015
2015,7,103.4,16/10/2015
2015,6,103.3,20/09/2015
2015,5,103.7,18/08/2015
2015,4,103.5,26/07/2015
2015,3,103.4,20/06/2015
2015,2,103.2,17/05/2015
2015,1,103.2,18/04/2015
2014,12,103.2,15/03/2015
2014,11,103.0,15/02/2015
2014,10,103.1,16/01/2015
