Annee,Mois,Valeur,Date parution au JO
2020,8,115.4,20/11/2020
2020,7,115.0,16/10/2020
2020,6,115.0,16/09/2020
2020,5,114.8,23/08/2020
2020,4,114.6,17/07/2020
2020,3,114.4,19/06/2020
2020,2,114.4,16/05/2020
2020,1,114.3,14/05/2020
2019,12,114.6,21/03/2020
2019,11,114.4,15/02/2020
2019,10,113.9,17/01/2020
2019,9,113.7,20/12/2019
2019,8,113.9,16/11/2019
2019,7,113.4,19/10/2019
2019,6,113.8,21/09/2019
2019,5,114.0,23/08/2019
2019,4,113.9,19/07/2019
2019,3,113.3,22/06/2019
2019,2,112.9,16/05/2019
2019,1,112.4,18/04/2019
2018,12,112.4,23/03/2019
2018,11,112.4,19/02/2019
2018,10,112.2,19/01/2019
2018,9,111.9,21/12/2018
2018,8,112.3,15/11/2018
2018,7,112.1,12/10/2018
2018,6,112.0,15/09/2018
2018,5,111.9,17/08/2018
2018,4,111.4,17/07/2018
2018,3,111.0,27/06/2018
2018,2,111.2,16/05/2018
2018,1,110.8,03/05/2018
2017,12,109.9,22/03/2018
2017,11,109.6,21/02/2018
2017,10,109.8,17/01/2018
2017,9,109.7,22/12/2017
2017,8,109.7,15/11/2017
2017,7,109.2,13/10/2017
2017,6,109.2,16/09/2017
2017,5,109.1,11/08/2017
2017,4,109.4,16/07/2017
2017,3,109.0,05/07/2017
2017,2,108.8,14/05/2017
2017,1,108.3,15/04/2017
2016,12,108.0,21/03/2017
2016,11,107.2,15/02/2017
2016,10,106.7,14/01/2017
2016,9,106.6,21/12/2016
2016,8,107.1,17/11/2016
2016,7,107.0,13/10/2016
2016,6,107.4,21/09/2016
2016,5,106.7,13/08/2016
2016,4,106.4,14/07/2016
2016,3,106.0,22/06/2016
2016,2,105.9,15/05/2016
2016,1,106.3,14/04/2016
2015,12,106.3,24/03/2016
2015,11,107.0,14/02/2016
2015,10,106.9,16/01/2016
2015,9,107.1,23/12/2015
2015,8,107.4,21/11/2015
2015,7,107.8,16/10/2015
2015,6,107.8,20/09/2015
2015,5,107.5,18/08/2015
2015,4,106.8,26/07/2015
2015,3,106.7,20/06/2015
2015,2,107.1,17/05/2015
2015,1,106.8,18/04/2015
2014,12,109.0,15/03/2015
2014,11,108.6,15/02/2015
2014,10,108.8,16/01/2015
