Annee,Mois,Valeur,Date parution au JO
2020,8,116.5,20/11/2020
2020,7,116.3,16/10/2020
2020,6,116.0,16/09/2020
2020,5,115.8,23/08/2020
2020,4,115.7,17/07/2020
2020,3,115.8,19/06/2020
2020,2,115.8,16/05/2020
2020,1,115.7,14/05/2020
2019,12,115.6,21/03/2020
2019,11,115.6,15/02/2020
2019,10,115.4,17/01/2020
2019,9,115.1,20/12/2019
2019,8,115.3,16/11/2019
2019,7,115.2,19/10/2019
2019,6,115.2,21/09/2019
2019,5,115.0,23/08/2019
2019,4,114.9,19/07/2019
2019,3,114.4,22/06/2019
2019,2,114.2,16/05/2019
2019,1,113.9,18/04/2019
2018,12,113.9,23/03/2019
2018,11,113.8,19/02/2019
2018,10,113.7,19/01/2019
2018,9,113.3,21/12/2018
2018,8,113.4,15/11/2018
2018,7,113.5,12/10/2018
2018,6,113.3,15/09/2018
2018,5,113.1,17/08/2018
2018,4,113.0,17/07/2018
2018,3,112.7,27/06/2018
2018,2,112.6,16/05/2018
2018,1,112.6,03/05/2018
2017,12,112.5,22/03/2018
2017,11,112.3,21/02/2018
2017,10,112.1,17/01/2018
2017,9,111.6,22/12/2017
2017,8,111.4,15/11/2017
2017,7,111.3,13/10/2017
2017,6,110.7,16/09/2017
2017,5,110.7,11/08/2017
2017,4,110.9,16/07/2017
2017,3,110.7,05/07/2017
2017,2,110.5,14/05/2017
2017,1,110.4,15/04/2017
2016,12,110.4,21/03/2017
2016,11,109.4,15/02/2017
2016,10,109.2,14/01/2017
2016,9,109.0,21/12/2016
2016,8,109.0,17/11/2016
2016,7,108.6,13/10/2016
2016,6,108.3,21/09/2016
2016,5,108.3,13/08/2016
2016,4,108.0,14/07/2016
2016,3,107.7,22/06/2016
2016,2,107.5,15/05/2016
2016,1,107.3,14/04/2016
2015,12,107.6,24/03/2016
2015,11,107.7,14/02/2016
2015,10,107.5,16/01/2016
2015,9,107.7,23/12/2015
2015,8,107.5,21/11/2015
2015,7,108.2,16/10/2015
2015,6,108.5,20/09/2015
2015,5,108.4,18/08/2015
2015,4,107.9,26/07/2015
2015,3,107.9,20/06/2015
2015,2,107.9,17/05/2015
2015,1,108.0,18/04/2015
2014,12,107.9,15/03/2015
2014,11,107.9,15/02/2015
2014,10,107.8,16/01/2015
