Annee,Mois,Valeur,Date parution au JO
2020,8,112.6,20/11/2020
2020,7,112.5,16/10/2020
2020,6,110.7,16/09/2020
2020,5,110.3,23/08/2020
2020,4,110.3,17/07/2020
2020,3,110.8,19/06/2020
2020,2,111.3,16/05/2020
2020,1,111.7,14/05/2020
2019,12,112.1,21/03/2020
2019,11,111.4,15/02/2020
2019,10,112.9,17/01/2020
2019,9,111.7,20/12/2019
2019,8,111.3,16/11/2019
2019,7,112.6,19/10/2019
2019,6,113.0,21/09/2019
2019,5,113.1,23/08/2019
2019,4,112.8,19/07/2019
2019,3,112.0,22/06/2019
2019,2,111.9,16/05/2019
2019,1,111.8,18/04/2019
2018,12,111.6,23/03/2019
2018,11,111.8,19/02/2019
2018,10,111.5,19/01/2019
2018,9,112.0,21/12/2018
2018,8,111.0,15/11/2018
2018,7,110.5,12/10/2018
2018,6,110.4,15/09/2018
2018,5,110.2,17/08/2018
2018,4,109.3,17/07/2018
2018,3,109.5,27/06/2018
2018,2,109.3,16/05/2018
2018,1,108.4,03/05/2018
2017,12,108.4,22/03/2018
2017,11,108.3,21/02/2018
2017,10,107.5,17/01/2018
2017,9,107.3,22/12/2017
2017,8,107.2,15/11/2017
2017,7,106.6,13/10/2017
2017,6,106.6,16/09/2017
2017,5,106.6,11/08/2017
2017,4,105.5,16/07/2017
2017,3,105.3,05/07/2017
2017,2,105.0,14/05/2017
2017,1,105.1,15/04/2017
2016,12,104.3,21/03/2017
2016,11,104.0,15/02/2017
2016,10,103.5,14/01/2017
2016,9,103.6,21/12/2016
2016,8,103.8,17/11/2016
2016,7,104.0,13/10/2016
2016,6,103.8,21/09/2016
2016,5,103.3,13/08/2016
2016,4,102.9,14/07/2016
2016,3,103.2,22/06/2016
2016,2,103.3,15/05/2016
2016,1,103.6,14/04/2016
2015,12,102.7,24/03/2016
2015,11,103.1,14/02/2016
2015,10,103.3,16/01/2016
2015,9,103.1,23/12/2015
2015,8,103.0,21/11/2015
2015,7,103.6,16/10/2015
2015,6,101.9,20/09/2015
2015,5,101.4,18/08/2015
2015,4,100.9,26/07/2015
2015,3,100.8,20/06/2015
2015,2,99.7,17/05/2015
2015,1,100.3,18/04/2015
2014,12,103.3,15/03/2015
2014,11,105.4,15/02/2015
2014,10,107.2,16/01/2015
