Annee,Mois,Valeur,Date parution au JO
2020,8,109.3,20/11/2020
2020,7,109.0,16/10/2020
2020,6,109.0,16/09/2020
2020,5,108.3,23/08/2020
2020,4,108.8,17/07/2020
2020,3,108.9,19/06/2020
2020,2,110.1,16/05/2020
2020,1,110.0,14/05/2020
2019,12,110.2,21/03/2020
2019,11,109.9,15/02/2020
2019,10,109.8,17/01/2020
2019,9,110.0,20/12/2019
2019,8,110.3,16/11/2019
2019,7,110.3,19/10/2019
2019,6,110.2,21/09/2019
2019,5,110.5,23/08/2019
2019,4,110.3,19/07/2019
2019,3,110.2,22/06/2019
2019,2,110.0,16/05/2019
2019,1,110.0,18/04/2019
2018,12,110.5,23/03/2019
2018,11,110.4,19/02/2019
2018,10,110.5,19/01/2019
2018,9,109.7,21/12/2018
2018,8,109.3,15/11/2018
2018,7,109.9,12/10/2018
2018,6,109.5,15/09/2018
2018,5,109.1,17/08/2018
2018,4,108.6,17/07/2018
2018,3,108.5,27/06/2018
2018,2,108.5,16/05/2018
2018,1,108.2,03/05/2018
2017,12,108.3,22/03/2018
2017,11,107.8,21/02/2018
2017,10,107.8,17/01/2018
2017,9,107.5,22/12/2017
2017,8,107.2,15/11/2017
2017,7,107.1,13/10/2017
2017,6,107.0,16/09/2017
2017,5,107.4,11/08/2017
2017,4,107.3,16/07/2017
2017,3,107.3,05/07/2017
2017,2,105.5,14/05/2017
2017,1,105.6,15/04/2017
2016,12,106.0,21/03/2017
2016,11,105.2,15/02/2017
2016,10,104.4,14/01/2017
2016,9,103.7,21/12/2016
2016,8,103.3,17/11/2016
2016,7,103.4,13/10/2016
2016,6,103.0,21/09/2016
2016,5,102.7,13/08/2016
2016,4,102.6,14/07/2016
2016,3,102.7,22/06/2016
2016,2,102.8,15/05/2016
2016,1,103.0,14/04/2016
2015,12,103.9,24/03/2016
2015,11,103.9,14/02/2016
2015,10,104.5,16/01/2016
2015,9,104.5,23/12/2015
2015,8,104.9,21/11/2015
2015,7,105.7,16/10/2015
2015,6,105.8,20/09/2015
2015,5,106.4,18/08/2015
2015,4,106.2,26/07/2015
2015,3,106.2,20/06/2015
2015,2,106.2,17/05/2015
2015,1,105.2,18/04/2015
2014,12,102.2,15/03/2015
2014,11,102.1,15/02/2015
2014,10,102.4,16/01/2015
