Annee,Mois,Valeur,Date parution au JO
2020,8,116.8,20/11/2020
2020,7,115.9,16/10/2020
2020,6,115.4,16/09/2020
2020,5,114.8,23/08/2020
2020,4,114.5,17/07/2020
2020,3,116.1,19/06/2020
2020,2,117.7,16/05/2020
2020,1,117.8,14/05/2020
2019,12,118.3,21/03/2020
2019,11,119.5,15/02/2020
2019,10,119.1,17/01/2020
2019,9,117.7,20/12/2019
2019,8,118.0,16/11/2019
2019,7,117.9,19/10/2019
2019,6,119.5,21/09/2019
2019,5,120.2,23/08/2019
2019,4,121.0,19/07/2019
2019,3,119.4,22/06/2019
2019,2,118.7,16/05/2019
2019,1,116.9,18/04/2019
2018,12,117.5,23/03/2019
2018,11,117.6,19/02/2019
2018,10,117.1,19/01/2019
2018,9,116.4,21/12/2018
2018,8,117.9,15/11/2018
2018,7,119.2,12/10/2018
2018,6,120.4,15/09/2018
2018,5,120.9,17/08/2018
2018,4,121.3,17/07/2018
2018,3,119.9,27/06/2018
2018,2,120.9,16/05/2018
2018,1,120.2,03/05/2018
2017,12,121.0,22/03/2018
2017,11,121.0,21/02/2018
2017,10,120.7,17/01/2018
2017,9,118.6,22/12/2017
2017,8,117.5,15/11/2017
2017,7,116.5,13/10/2017
2017,6,115.1,16/09/2017
2017,5,116.3,11/08/2017
2017,4,117.6,16/07/2017
2017,3,117.6,05/07/2017
2017,2,117.8,14/05/2017
2017,1,117.1,15/04/2017
2016,12,117.2,21/03/2017
2016,11,113.1,15/02/2017
2016,10,111.8,14/01/2017
2016,9,111.7,21/12/2016
2016,8,111.4,17/11/2016
2016,7,109.3,13/10/2016
2016,6,107.9,21/09/2016
2016,5,106.9,13/08/2016
2016,4,106.3,14/07/2016
2016,3,105.4,22/06/2016
2016,2,104.9,15/05/2016
2016,1,104.2,14/04/2016
2015,12,104.9,24/03/2016
2015,11,105.7,14/02/2016
2015,10,105.8,16/01/2016
2015,9,106.3,23/12/2015
2015,8,107.6,21/11/2015
2015,7,109.1,16/10/2015
2015,6,110.1,20/09/2015
2015,5,111.0,18/08/2015
2015,4,108.9,26/07/2015
2015,3,108.9,20/06/2015
2015,2,108.9,17/05/2015
2015,1,109.6,18/04/2015
2014,12,109.0,15/03/2015
2014,11,109.1,15/02/2015
2014,10,108.5,16/01/2015
