Annee,Mois,Valeur,Date parution au JO
2020,8,110.2,20/11/2020
2020,7,110.2,16/10/2020
2020,6,110.3,16/09/2020
2020,5,110.9,23/08/2020
2020,4,111.0,17/07/2020
2020,3,111.3,19/06/2020
2020,2,111.6,16/05/2020
2020,1,111.5,14/05/2020
2019,12,111.4,21/03/2020
2019,11,111.2,15/02/2020
2019,10,111.3,17/01/2020
2019,9,111.3,20/12/2019
2019,8,111.3,16/11/2019
2019,7,111.2,19/10/2019
2019,6,110.8,21/09/2019
2019,5,110.8,23/08/2019
2019,4,110.8,19/07/2019
2019,3,110.7,22/06/2019
2019,2,110.1,16/05/2019
2019,1,110.0,18/04/2019
2018,12,109.7,23/03/2019
2018,11,109.8,19/02/2019
2018,10,109.9,19/01/2019
2018,9,109.7,21/12/2018
2018,8,109.4,15/11/2018
2018,7,109.2,12/10/2018
2018,6,109.1,15/09/2018
2018,5,109.1,17/08/2018
2018,4,108.6,17/07/2018
2018,3,108.3,27/06/2018
2018,2,108.0,16/05/2018
2018,1,107.9,03/05/2018
2017,12,107.3,22/03/2018
2017,11,107.2,21/02/2018
2017,10,107.0,17/01/2018
2017,9,106.8,22/12/2017
2017,8,106.8,15/11/2017
2017,7,106.4,13/10/2017
2017,6,106.3,16/09/2017
2017,5,106.7,11/08/2017
2017,4,106.4,16/07/2017
2017,3,106.4,05/07/2017
2017,2,106.1,14/05/2017
2017,1,106.1,15/04/2017
2016,12,105.8,21/03/2017
2016,11,105.8,15/02/2017
2016,10,105.5,14/01/2017
2016,9,105.3,21/12/2016
2016,8,105.2,17/11/2016
2016,7,105.2,13/10/2016
2016,6,105.3,21/09/2016
2016,5,105.4,13/08/2016
2016,4,105.1,14/07/2016
2016,3,105.1,22/06/2016
2016,2,105.1,15/05/2016
2016,1,105.2,14/04/2016
2015,12,105.2,24/03/2016
2015,11,105.8,14/02/2016
2015,10,105.5,16/01/2016
2015,9,105.4,23/12/2015
2015,8,105.9,21/11/2015
2015,7,106.0,16/10/2015
2015,6,105.6,20/09/2015
2015,5,105.9,18/08/2015
2015,4,105.8,26/07/2015
2015,3,105.7,20/06/2015
2015,2,105.6,17/05/2015
2015,1,105.6,18/04/2015
2014,12,105.7,15/03/2015
2014,11,106.4,15/02/2015
2014,10,106.5,16/01/2015
