Annee,Mois,Valeur,Date parution au JO
2020,8,107.1,20/11/2020
2020,7,106.3,16/10/2020
2020,6,106.3,16/09/2020
2020,5,105.5,23/08/2020
2020,4,106.2,17/07/2020
2020,3,106.8,19/06/2020
2020,2,108.2,16/05/2020
2020,1,108.2,14/05/2020
2019,12,108.3,21/03/2020
2019,11,108.2,15/02/2020
2019,10,108.2,17/01/2020
2019,9,108.6,20/12/2019
2019,8,109.0,16/11/2019
2019,7,109.4,19/10/2019
2019,6,109.5,21/09/2019
2019,5,110.3,23/08/2019
2019,4,110.5,19/07/2019
2019,3,110.3,22/06/2019
2019,2,109.9,16/05/2019
2019,1,110.2,18/04/2019
2018,12,110.8,23/03/2019
2018,11,110.4,19/02/2019
2018,10,110.4,19/01/2019
2018,9,109.6,21/12/2018
2018,8,109.3,15/11/2018
2018,7,110.2,12/10/2018
2018,6,110.0,15/09/2018
2018,5,109.7,17/08/2018
2018,4,109.1,17/07/2018
2018,3,108.8,27/06/2018
2018,2,109.0,16/05/2018
2018,1,108.7,03/05/2018
2017,12,108.6,22/03/2018
2017,11,108.1,21/02/2018
2017,10,107.9,17/01/2018
2017,9,107.5,22/12/2017
2017,8,106.8,15/11/2017
2017,7,106.9,13/10/2017
2017,6,106.8,16/09/2017
2017,5,107.5,11/08/2017
2017,4,107.1,16/07/2017
2017,3,107.2,05/07/2017
2017,2,105.1,14/05/2017
2017,1,105.1,15/04/2017
2016,12,105.6,21/03/2017
2016,11,104.2,15/02/2017
2016,10,103.2,14/01/2017
2016,9,102.6,21/12/2016
2016,8,102.2,17/11/2016
2016,7,102.4,13/10/2016
2016,6,101.8,21/09/2016
2016,5,101.0,13/08/2016
2016,4,100.8,14/07/2016
2016,3,101.0,22/06/2016
2016,2,101.1,15/05/2016
2016,1,101.2,14/04/2016
2015,12,102.4,24/03/2016
2015,11,102.7,14/02/2016
2015,10,103.7,16/01/2016
2015,9,103.9,23/12/2015
2015,8,104.7,21/11/2015
2015,7,105.7,16/10/2015
2015,6,105.8,20/09/2015
2015,5,106.5,18/08/2015
2015,4,106.4,26/07/2015
2015,3,106.3,20/06/2015
2015,2,106.1,17/05/2015
2015,1,104.8,18/04/2015
2014,12,101.3,15/03/2015
2014,11,101.3,15/02/2015
2014,10,101.6,16/01/2015
