Annee,Mois,Valeur,Date parution au JO
2020,8,106.2,20/11/2020
2020,7,105.9,16/10/2020
2020,6,105.5,16/09/2020
2020,5,103.7,23/08/2020
2020,4,103.3,17/07/2020
2020,3,105.9,19/06/2020
2020,2,110.0,16/05/2020
2020,1,111.4,14/05/2020
2019,12,108.3,21/03/2020
2019,11,108.9,15/02/2020
2019,10,110.6,17/01/2020
2019,9,113.0,20/12/2019
2019,8,110.9,16/11/2019
2019,7,114.2,19/10/2019
2019,6,112.7,21/09/2019
2019,5,114.3,23/08/2019
2019,4,114.9,19/07/2019
2019,3,114.4,22/06/2019
2019,2,113.4,16/05/2019
2019,1,111.2,18/04/2019
2018,12,110.7,23/03/2019
2018,11,113.4,19/02/2019
2018,10,115.9,19/01/2019
2018,9,114.1,21/12/2018
2018,8,113.8,15/11/2018
2018,7,114.0,12/10/2018
2018,6,113.4,15/09/2018
2018,5,111.2,17/08/2018
2018,4,110.4,17/07/2018
2018,3,109.2,27/06/2018
2018,2,109.6,16/05/2018
2018,1,109.7,03/05/2018
2017,12,107.2,22/03/2018
2017,11,107.2,21/02/2018
2017,10,105.9,17/01/2018
2017,9,105.2,22/12/2017
2017,8,105.1,15/11/2017
2017,7,104.8,13/10/2017
2017,6,104.7,16/09/2017
2017,5,105.5,11/08/2017
2017,4,105.4,16/07/2017
2017,3,105.6,05/07/2017
2017,2,106.1,14/05/2017
2017,1,105.9,15/04/2017
2016,12,104.9,21/03/2017
2016,11,102.1,15/02/2017
2016,10,102.1,14/01/2017
2016,9,101.0,21/12/2016
2016,8,101.0,17/11/2016
2016,7,99.7,13/10/2016
2016,6,100.7,21/09/2016
2016,5,99.0,13/08/2016
2016,4,98.0,14/07/2016
2016,3,96.8,22/06/2016
2016,2,96.1,15/05/2016
2016,1,96.3,14/04/2016
2015,12,95.2,24/03/2016
2015,11,98.6,14/02/2016
2015,10,98.5,16/01/2016
2015,9,98.2,23/12/2015
2015,8,98.7,21/11/2015
2015,7,101.4,16/10/2015
2015,6,103.5,20/09/2015
2015,5,104.0,18/08/2015
2015,4,104.3,26/07/2015
2015,3,101.8,20/06/2015
2015,2,102.2,17/05/2015
2015,1,98.7,18/04/2015
2014,12,97.6,15/03/2015
2014,11,102.1,15/02/2015
2014,10,104.6,16/01/2015
