Annee,Mois,Valeur,Date parution au JO
2020,8,110.9,20/11/2020
2020,7,110.9,16/10/2020
2020,6,111.0,16/09/2020
2020,5,110.6,23/08/2020
2020,4,110.1,17/07/2020
2020,3,110.5,19/06/2020
2020,2,110.6,16/05/2020
2020,1,110.9,14/05/2020
2019,12,110.7,21/03/2020
2019,11,110.5,15/02/2020
2019,10,110.5,17/01/2020
2019,9,110.5,20/12/2019
2019,8,110.8,16/11/2019
2019,7,110.2,19/10/2019
2019,6,110.2,21/09/2019
2019,5,110.1,23/08/2019
2019,4,109.7,19/07/2019
2019,3,109.4,22/06/2019
2019,2,109.4,16/05/2019
2019,1,109.1,18/04/2019
2018,12,108.8,23/03/2019
2018,11,108.8,19/02/2019
2018,10,108.7,19/01/2019
2018,9,108.4,21/12/2018
2018,8,108.3,15/11/2018
2018,7,107.8,12/10/2018
2018,6,107.7,15/09/2018
2018,5,107.5,17/08/2018
2018,4,107.2,17/07/2018
2018,3,106.9,27/06/2018
2018,2,106.9,16/05/2018
2018,1,106.7,03/05/2018
2017,12,106.0,22/03/2018
2017,11,105.5,21/02/2018
2017,10,105.8,17/01/2018
2017,9,105.4,22/12/2017
2017,8,105.5,15/11/2017
2017,7,105.1,13/10/2017
2017,6,105.1,16/09/2017
2017,5,105.4,11/08/2017
2017,4,105.5,16/07/2017
2017,3,105.1,05/07/2017
2017,2,104.7,14/05/2017
2017,1,104.4,15/04/2017
2016,12,103.9,21/03/2017
2016,11,103.6,15/02/2017
2016,10,103.5,14/01/2017
2016,9,103.2,21/12/2016
2016,8,103.1,17/11/2016
2016,7,102.9,13/10/2016
2016,6,102.6,21/09/2016
2016,5,102.1,13/08/2016
2016,4,101.7,14/07/2016
2016,3,101.6,22/06/2016
2016,2,101.7,15/05/2016
2016,1,101.7,14/04/2016
2015,12,102.3,24/03/2016
2015,11,102.5,14/02/2016
2015,10,102.5,16/01/2016
2015,9,102.6,23/12/2015
2015,8,103.1,21/11/2015
2015,7,103.3,16/10/2015
2015,6,103.4,20/09/2015
2015,5,103.6,18/08/2015
2015,4,103.4,26/07/2015
2015,3,103.4,20/06/2015
2015,2,103.4,17/05/2015
2015,1,103.2,18/04/2015
2014,12,103.4,15/03/2015
2014,11,103.7,15/02/2015
2014,10,104.1,16/01/2015
