Annee,Mois,Valeur,Date parution au JO
2020,8,113.2,20/11/2020
2020,7,112.6,16/10/2020
2020,6,113.0,16/09/2020
2020,5,113.1,23/08/2020
2020,4,113.1,17/07/2020
2020,3,113.0,19/06/2020
2020,2,112.6,16/05/2020
2020,1,112.4,14/05/2020
2019,12,112.7,21/03/2020
2019,11,111.6,15/02/2020
2019,10,111.8,17/01/2020
2019,9,111.7,20/12/2019
2019,8,112.2,16/11/2019
2019,7,111.7,19/10/2019
2019,6,111.6,21/09/2019
2019,5,111.3,23/08/2019
2019,4,111.0,19/07/2019
2019,3,110.9,22/06/2019
2019,2,110.7,16/05/2019
2019,1,110.4,18/04/2019
2018,12,110.4,23/03/2019
2018,11,109.7,19/02/2019
2018,10,109.5,19/01/2019
2018,9,109.7,21/12/2018
2018,8,110.2,15/11/2018
2018,7,109.7,12/10/2018
2018,6,109.0,15/09/2018
2018,5,109.5,17/08/2018
2018,4,108.8,17/07/2018
2018,3,108.8,27/06/2018
2018,2,108.7,16/05/2018
2018,1,108.8,03/05/2018
2017,12,108.2,22/03/2018
2017,11,107.4,21/02/2018
2017,10,108.1,17/01/2018
2017,9,108.1,22/12/2017
2017,8,108.5,15/11/2017
2017,7,108.2,13/10/2017
2017,6,108.2,16/09/2017
2017,5,107.9,11/08/2017
2017,4,107.8,16/07/2017
2017,3,107.4,05/07/2017
2017,2,107.6,14/05/2017
2017,1,107.7,15/04/2017
2016,12,107.9,21/03/2017
2016,11,106.5,15/02/2017
2016,10,106.9,14/01/2017
2016,9,106.8,21/12/2016
2016,8,106.7,17/11/2016
2016,7,107.1,13/10/2016
2016,6,107.1,21/09/2016
2016,5,107.0,13/08/2016
2016,4,106.7,14/07/2016
2016,3,106.7,22/06/2016
2016,2,106.5,15/05/2016
2016,1,106.9,14/04/2016
2015,12,106.7,24/03/2016
2015,11,106.2,14/02/2016
2015,10,106.4,16/01/2016
2015,9,106.5,23/12/2015
2015,8,107.2,21/11/2015
2015,7,106.8,16/10/2015
2015,6,107.4,20/09/2015
2015,5,106.9,18/08/2015
2015,4,106.2,26/07/2015
2015,3,106.2,20/06/2015
2015,2,106.7,17/05/2015
2015,1,106.6,18/04/2015
2014,12,106.3,15/03/2015
2014,11,106.3,15/02/2015
2014,10,106.4,16/01/2015
