Annee,Mois,Valeur,Date parution au JO
2020,8,109.9,20/11/2020
2020,7,108.3,16/10/2020
2020,6,108.8,16/09/2020
2020,5,109.8,23/08/2020
2020,4,110.6,17/07/2020
2020,3,112.9,19/06/2020
2020,2,111.5,16/05/2020
2020,1,112.4,14/05/2020
2019,12,112.5,21/03/2020
2019,11,112.8,15/02/2020
2019,10,112.8,17/01/2020
2019,9,111.9,20/12/2019
2019,8,109.7,16/11/2019
2019,7,113.5,19/10/2019
2019,6,110.9,21/09/2019
2019,5,111.0,23/08/2019
2019,4,112.3,19/07/2019
2019,3,113.2,22/06/2019
2019,2,113.3,16/05/2019
2019,1,113.1,18/04/2019
2018,12,113.9,23/03/2019
2018,11,114.0,19/02/2019
2018,10,113.8,19/01/2019
2018,9,113.9,21/12/2018
2018,8,112.7,15/11/2018
2018,7,113.2,12/10/2018
2018,6,112.1,15/09/2018
2018,5,112.2,17/08/2018
2018,4,112.5,17/07/2018
2018,3,112.1,27/06/2018
2018,2,107.7,16/05/2018
2018,1,108.4,03/05/2018
2017,12,106.5,22/03/2018
2017,11,106.0,21/02/2018
2017,10,106.1,17/01/2018
2017,9,106.1,22/12/2017
2017,8,104.7,15/11/2017
2017,7,104.6,13/10/2017
2017,6,104.4,16/09/2017
2017,5,104.3,11/08/2017
2017,4,104.6,16/07/2017
2017,3,104.6,05/07/2017
2017,2,104.3,14/05/2017
2017,1,104.1,15/04/2017
2016,12,104.0,21/03/2017
2016,11,103.4,15/02/2017
2016,10,103.0,14/01/2017
2016,9,102.9,21/12/2016
2016,8,102.7,17/11/2016
2016,7,102.7,13/10/2016
2016,6,102.3,21/09/2016
2016,5,101.8,13/08/2016
2016,4,101.7,14/07/2016
2016,3,101.3,22/06/2016
2016,2,100.9,15/05/2016
2016,1,100.6,14/04/2016
2015,12,100.8,24/03/2016
2015,11,101.6,14/02/2016
2015,10,101.6,16/01/2016
2015,9,101.7,23/12/2015
2015,8,102.3,21/11/2015
2015,7,102.8,16/10/2015
2015,6,102.8,20/09/2015
2015,5,103.1,18/08/2015
2015,4,103.2,26/07/2015
2015,3,103.2,20/06/2015
2015,2,103.1,17/05/2015
2015,1,102.9,18/04/2015
2014,12,103.1,15/03/2015
2014,11,103.9,15/02/2015
2014,10,103.9,16/01/2015
