Annee,Mois,Valeur,Date parution au JO
2020,8,117.3,20/11/2020
2020,7,116.8,16/10/2020
2020,6,116.2,16/09/2020
2020,5,116.4,23/08/2020
2020,4,117.5,17/07/2020
2020,3,117.9,19/06/2020
2020,2,118.3,16/05/2020
2020,1,118.3,14/05/2020
2019,12,117.8,21/03/2020
2019,11,117.1,15/02/2020
2019,10,117.2,17/01/2020
2019,9,117.2,20/12/2019
2019,8,116.9,16/11/2019
2019,7,117.0,19/10/2019
2019,6,117.1,21/09/2019
2019,5,116.9,23/08/2019
2019,4,116.3,19/07/2019
2019,3,115.9,22/06/2019
2019,2,115.7,16/05/2019
2019,1,115.6,18/04/2019
2018,12,115.5,23/03/2019
2018,11,115.9,19/02/2019
2018,10,115.5,19/01/2019
2018,9,114.9,21/12/2018
2018,8,114.8,15/11/2018
2018,7,114.5,12/10/2018
2018,6,114.3,15/09/2018
2018,5,114.2,17/08/2018
2018,4,113.3,17/07/2018
2018,3,113.2,27/06/2018
2018,2,112.8,16/05/2018
2018,1,112.6,03/05/2018
2017,12,112.5,22/03/2018
2017,11,112.3,21/02/2018
2017,10,112.0,17/01/2018
2017,9,111.4,22/12/2017
2017,8,111.3,15/11/2017
2017,7,110.6,13/10/2017
2017,6,110.6,16/09/2017
2017,5,110.8,11/08/2017
2017,4,110.7,16/07/2017
2017,3,110.6,05/07/2017
2017,2,110.1,14/05/2017
2017,1,110.1,15/04/2017
2016,12,108.6,21/03/2017
2016,11,108.2,15/02/2017
2016,10,107.2,14/01/2017
2016,9,107.3,21/12/2016
2016,8,107.1,17/11/2016
2016,7,107.2,13/10/2016
2016,6,107.2,21/09/2016
2016,5,106.6,13/08/2016
2016,4,105.7,14/07/2016
2016,3,104.9,22/06/2016
2016,2,104.8,15/05/2016
2016,1,105.6,14/04/2016
2015,12,105.5,24/03/2016
2015,11,105.6,14/02/2016
2015,10,105.5,16/01/2016
2015,9,106.2,23/12/2015
2015,8,106.8,21/11/2015
2015,7,107.4,16/10/2015
2015,6,107.6,20/09/2015
2015,5,107.1,18/08/2015
2015,4,106.3,26/07/2015
2015,3,105.4,20/06/2015
2015,2,104.8,17/05/2015
2015,1,105.1,18/04/2015
2014,12,105.6,15/03/2015
2014,11,106.3,15/02/2015
2014,10,107.0,16/01/2015
