Annee,Mois,Valeur,Date parution au JO
2020,8,110.9,20/11/2020
2020,7,110.9,16/10/2020
2020,6,110.7,16/09/2020
2020,5,111.0,23/08/2020
2020,4,110.6,17/07/2020
2020,3,110.7,19/06/2020
2020,2,110.6,16/05/2020
2020,1,110.2,14/05/2020
2019,12,110.4,21/03/2020
2019,11,110.3,15/02/2020
2019,10,110.2,17/01/2020
2019,9,110.0,20/12/2019
2019,8,110.0,16/11/2019
2019,7,109.7,19/10/2019
2019,6,109.7,21/09/2019
2019,5,109.2,23/08/2019
2019,4,108.9,19/07/2019
2019,3,108.7,22/06/2019
2019,2,108.8,16/05/2019
2019,1,108.3,18/04/2019
2018,12,107.7,23/03/2019
2018,11,108.1,19/02/2019
2018,10,107.9,19/01/2019
2018,9,108.2,21/12/2018
2018,8,107.9,15/11/2018
2018,7,107.8,12/10/2018
2018,6,107.5,15/09/2018
2018,5,107.4,17/08/2018
2018,4,107.1,17/07/2018
2018,3,106.7,27/06/2018
2018,2,106.6,16/05/2018
2018,1,105.9,03/05/2018
2017,12,106.0,22/03/2018
2017,11,105.7,21/02/2018
2017,10,105.9,17/01/2018
2017,9,105.5,22/12/2017
2017,8,105.8,15/11/2017
2017,7,105.7,13/10/2017
2017,6,105.7,16/09/2017
2017,5,105.0,11/08/2017
2017,4,105.1,16/07/2017
2017,3,105.2,05/07/2017
2017,2,104.9,14/05/2017
2017,1,105.0,15/04/2017
2016,12,104.4,21/03/2017
2016,11,104.5,15/02/2017
2016,10,104.5,14/01/2017
2016,9,104.2,21/12/2016
2016,8,104.1,17/11/2016
2016,7,103.9,13/10/2016
2016,6,103.9,21/09/2016
2016,5,103.7,13/08/2016
2016,4,103.6,14/07/2016
2016,3,103.4,22/06/2016
2016,2,103.5,15/05/2016
2016,1,103.2,14/04/2016
2015,12,103.2,24/03/2016
2015,11,103.1,14/02/2016
2015,10,103.2,16/01/2016
2015,9,103.5,23/12/2015
2015,8,103.9,21/11/2015
2015,7,103.8,16/10/2015
2015,6,104.7,20/09/2015
2015,5,104.0,18/08/2015
2015,4,104.0,26/07/2015
2015,3,103.9,20/06/2015
2015,2,104.1,17/05/2015
2015,1,104.3,18/04/2015
2014,12,104.0,15/03/2015
2014,11,104.3,15/02/2015
2014,10,104.4,16/01/2015
