Annee,Mois,Valeur,Date parution au JO
2020,8,113.1,20/11/2020
2020,7,113.0,16/10/2020
2020,6,113.2,16/09/2020
2020,5,112.8,23/08/2020
2020,4,112.5,17/07/2020
2020,3,112.7,19/06/2020
2020,2,113.0,16/05/2020
2020,1,112.8,14/05/2020
2019,12,112.4,21/03/2020
2019,11,112.2,15/02/2020
2019,10,112.2,17/01/2020
2019,9,112.5,20/12/2019
2019,8,112.7,16/11/2019
2019,7,112.1,19/10/2019
2019,6,112.0,21/09/2019
2019,5,111.8,23/08/2019
2019,4,111.5,19/07/2019
2019,3,111.5,22/06/2019
2019,2,111.1,16/05/2019
2019,1,110.7,18/04/2019
2018,12,110.5,23/03/2019
2018,11,110.5,19/02/2019
2018,10,110.7,19/01/2019
2018,9,110.4,21/12/2018
2018,8,110.2,15/11/2018
2018,7,109.9,12/10/2018
2018,6,109.8,15/09/2018
2018,5,109.8,17/08/2018
2018,4,109.6,17/07/2018
2018,3,109.4,27/06/2018
2018,2,109.0,16/05/2018
2018,1,108.7,03/05/2018
2017,12,108.1,22/03/2018
2017,11,107.9,21/02/2018
2017,10,107.4,17/01/2018
2017,9,106.8,22/12/2017
2017,8,106.7,15/11/2017
2017,7,106.4,13/10/2017
2017,6,106.1,16/09/2017
2017,5,106.0,11/08/2017
2017,4,106.1,16/07/2017
2017,3,105.9,05/07/2017
2017,2,105.8,14/05/2017
2017,1,105.6,15/04/2017
2016,12,105.2,21/03/2017
2016,11,104.9,15/02/2017
2016,10,104.9,14/01/2017
2016,9,105.2,21/12/2016
2016,8,105.2,17/11/2016
2016,7,104.9,13/10/2016
2016,6,104.5,21/09/2016
2016,5,103.5,13/08/2016
2016,4,102.9,14/07/2016
2016,3,102.7,22/06/2016
2016,2,102.7,15/05/2016
2016,1,103.0,14/04/2016
2015,12,103.5,24/03/2016
2015,11,104.0,14/02/2016
2015,10,104.0,16/01/2016
2015,9,104.3,23/12/2015
2015,8,104.9,21/11/2015
2015,7,105.0,16/10/2015
2015,6,104.9,20/09/2015
2015,5,105.2,18/08/2015
2015,4,105.0,26/07/2015
2015,3,105.0,20/06/2015
2015,2,104.9,17/05/2015
2015,1,104.7,18/04/2015
2014,12,104.7,15/03/2015
2014,11,105.0,15/02/2015
2014,10,105.5,16/01/2015
